"Dataset","Number of the triple","Time"
"materials_dataset","10000","1.909949779510498"
"materials_property","20000","3.416924238204956"
"materials_author_references","30000","4.249540328979492"
"materials_scalar","40000","6.168423891067505"
"materials_scalar","50000","6.840902805328369"
"materials_scalar","60000","7.068476676940918"
"materials_scalar","70000","7.307650327682495"
"materials_scalar","80000","7.5351972579956055"
"materials_scalar","90000","7.781919956207275"
"materials_scalar","100000","8.04500436782837"
"materials_scalar","110000","8.296480417251587"
"materials_scalar","120000","8.477667093276978"
"materials_multi","130000","10.273783683776855"
"materials_multi","140000","10.881967067718506"
"materials_multi","150000","11.075259447097778"
"materials_multi","160000","11.264911890029907"
"materials_multi","170000","11.457952499389648"
"materials_multi","180000","11.647894144058228"
"materials_multi","190000","11.839516878128052"
"materials_multi","200000","12.031044244766235"
"materials_multi","210000","12.224666118621826"
"materials_multi","220000","12.413395643234253"
"materials_multi","230000","12.597995042800903"
